sex;institute;category;friends;followers;photos;videos;pages;label
1;10;1;637;846;16;41;105;1
1;10;2;588;288;29;63;129;1
1;10;2;577;150;71;6;12;1
1;10;2;577;0;1;1;73;1
1;10;1;576;235;50;28;40;1
1;10;1;561;238;33;27;103;1
1;10;1;555;367;18;86;93;1
1;10;1;538;357;99;206;181;1
1;10;1;527;416;5;27;28;1
1;10;1;523;244;294;947;32;1
1;10;1;501;456;160;55;68;1
1;10;2;500;362;63;568;116;1
1;10;1;487;287;19;61;226;1
1;10;2;483;743;149;29;63;1
1;10;2;478;756;26;321;161;1
1;10;2;476;428;221;40;65;1
2;10;2;472;391;49;46;400;1
1;10;1;464;192;10;63;60;1
1;10;1;452;143;33;1;156;1
1;10;1;451;450;9;19;201;1
1;10;1;441;508;55;63;74;1
1;10;2;422;202;37;50;84;1
1;10;1;417;371;123;43;93;1
1;10;1;413;346;114;72;247;1
1;10;1;413;100;76;31;75;1
1;10;2;411;175;149;15;563;1
1;10;2;387;623;311;218;271;1
1;10;1;377;214;13;19;56;1
1;10;1;367;289;3;0;70;1
1;10;1;357;393;38;13;26;1
1;10;1;356;74;0;22;0;1
1;10;1;336;536;103;275;122;1
1;10;1;335;465;15;1;86;1
1;10;1;303;408;7;59;146;1
1;10;1;303;266;3;270;40;1
1;10;1;295;305;246;176;205;1
1;10;1;292;699;6;26;176;1
1;10;2;285;376;30;24;26;1
1;10;1;284;222;26;177;524;1
1;10;2;280;99;245;342;74;1
1;10;1;267;258;31;10;47;1
1;10;1;267;193;15;18;54;1
1;10;1;259;117;183;114;188;1
1;10;2;258;88;9;391;241;1
1;10;1;253;145;84;150;45;1
1;10;1;250;135;17;11;172;1
1;10;1;242;126;45;71;84;1
1;10;2;237;198;15;8;114;1
1;10;2;236;236;9;379;126;1
1;10;2;232;293;26;347;150;1
1;10;1;226;66;87;34;149;1
1;10;2;223;225;37;67;103;1
1;10;2;221;180;51;35;143;1
1;10;1;221;92;27;73;61;1
1;10;2;213;300;112;31;130;1
1;10;2;212;263;19;4;18;1
1;10;2;210;269;24;29;177;1
1;10;2;208;249;79;47;131;1
1;10;2;204;267;48;123;220;1
1;10;1;201;143;26;7;10;1
1;10;1;198;228;41;646;95;1
1;10;2;194;230;92;885;216;1
1;10;2;192;641;30;107;308;1
1;10;2;191;308;55;56;31;1
1;10;1;190;336;1;2;67;1
2;10;2;186;718;78;281;365;1
1;10;1;186;352;6;0;91;1
1;10;1;184;219;235;4;76;1
1;10;1;183;220;7;6;89;1
1;10;1;183;117;4;25;45;1
1;10;1;176;377;6;21;222;1
1;10;2;174;278;16;305;138;1
1;10;2;173;364;103;18;53;1
1;10;2;172;295;9;277;41;1
1;10;2;166;698;55;3;40;1
1;10;1;165;257;29;43;239;1
1;10;1;163;383;38;83;81;1
1;10;2;162;0;3;0;124;1
1;10;2;161;344;2;8;130;1
1;10;1;158;275;12;7;69;1
1;10;2;151;0;2;0;10;1
1;10;1;149;152;49;202;355;1
1;10;1;149;129;20;90;19;1
1;10;2;146;336;4;3;90;1
1;10;1;146;208;211;121;47;1
1;10;2;135;125;40;41;72;1
1;10;2;130;161;6;5;122;1
1;10;1;126;121;9;2;9;1
1;10;1;125;48;42;4;27;1
1;10;2;121;373;17;1;10;1
1;10;1;120;18;9;15;104;1
1;10;1;119;174;19;34;25;1
1;10;2;118;591;1;419;16;1
1;10;1;117;19;1;4;143;1
1;10;1;116;177;11;0;176;1
1;10;2;116;82;6;0;105;1
1;10;1;114;193;252;29;23;1
1;10;1;112;257;10;41;58;1
1;10;1;111;102;27;123;63;1
1;10;1;110;81;3;4;31;1
1;10;1;108;206;4;395;18;1
1;10;2;107;269;9;94;165;1
1;10;2;106;326;4;8;15;1
1;10;1;106;112;15;0;126;1
1;10;2;103;120;14;22;170;1
1;10;2;97;86;1;55;33;1
1;10;1;95;182;4;307;143;1
1;10;1;94;229;203;0;223;1
2;10;1;94;59;18;0;11;1
1;10;2;92;43;130;0;73;1
1;10;1;88;279;56;12;11;1
1;10;2;84;220;13;22;46;1
2;10;1;84;62;45;56;195;1
1;10;2;83;38;18;356;278;1
1;10;1;79;333;102;458;69;1
1;10;1;78;118;18;0;84;1
1;10;1;70;179;1;0;7;1
1;10;1;69;390;3;1;11;1
1;10;2;69;33;0;23;38;1
1;10;1;69;1;0;0;0;1
1;10;2;68;129;13;32;24;1
1;10;1;66;61;1;8;6;1
1;10;2;65;7;1;1;32;1
1;10;2;63;186;3;366;33;1
1;10;2;56;26;7;0;74;1
1;10;1;52;73;18;0;1;1
1;10;2;51;190;87;10;76;1
1;10;2;50;0;0;0;0;1
2;10;2;45;188;15;0;1;1
2;10;1;42;52;5;0;21;1
1;10;1;27;16;17;247;13;1
1;10;1;27;1;0;0;15;1
1;10;1;26;21;3;0;35;1
1;10;1;16;236;31;74;81;1
1;10;1;11;13;2;0;5;1
1;10;1;169;156;19;27;118;1
1;10;1;165;186;5;15;42;1
1;10;1;137;217;96;308;118;1
1;10;2;44;401;1;5;25;1
1;10;1;12;0;0;0;9;1
1;10;1;377;295;25;142;271;1
1;10;2;473;414;23;326;198;1
1;10;1;217;207;56;103;77;1
1;10;1;178;500;37;22;116;1
1;10;1;166;471;11;114;64;1
1;10;1;114;198;66;32;90;1
1;10;1;108;378;1;1;7;1
1;10;2;61;730;158;658;77;1
1;10;1;441;221;62;18;102;1
1;10;1;270;302;53;1;65;1
1;10;2;153;115;13;96;87;1
1;10;1;143;176;19;279;335;1
1;10;1;130;228;41;23;40;1
1;10;2;114;628;3;220;293;1
1;10;1;105;230;10;20;95;1
1;10;1;89;145;7;2;66;1
1;10;1;240;218;32;15;118;1
1;10;2;238;282;93;129;77;1
1;10;2;612;328;125;45;164;1
2;10;1;152;0;1;21;8;1
1;10;2;89;32;10;12;32;1
1;10;1;55;28;7;44;26;1
1;10;2;30;319;21;18;22;1
1;10;2;593;238;83;75;100;1
1;10;1;550;519;53;59;71;1
1;10;2;143;168;86;214;284;1
1;10;2;203;357;24;8;104;1
1;10;1;91;428;69;129;110;1
1;10;1;200;210;12;91;98;1
1;10;2;126;105;9;224;39;1
1;10;1;397;493;8;0;30;1
1;10;1;149;101;17;2;24;1
1;10;2;22;13;2;0;5;1
1;10;2;176;402;44;70;97;1
1;10;2;512;811;29;99;34;1
1;10;2;433;252;21;154;113;1
1;10;2;350;424;29;88;74;1
2;10;2;225;98;3;0;70;1
1;10;1;221;423;35;25;46;1
1;10;2;217;554;81;457;84;1
1;10;2;217;554;81;457;84;1
1;10;1;201;169;47;161;164;1
1;10;2;197;230;13;332;65;1
1;10;2;191;308;55;56;31;1
1;10;1;180;165;21;76;98;1
1;10;1;125;110;2;6;70;1
1;10;2;123;233;0;3;27;1
1;10;1;122;150;19;262;129;1
1;10;1;114;161;10;27;23;1
1;10;2;91;48;9;2;30;1
1;10;1;85;33;13;2;42;1
1;10;1;51;59;13;12;11;1
1;10;1;116;135;12;17;83;1
1;10;2;72;266;40;0;220;1
1;10;1;116;569;133;892;25;1
1;10;2;64;163;4;18;52;1
1;10;1;266;83;31;3;103;1
1;10;1;263;114;101;18;132;1
1;10;2;255;109;24;6;22;1
2;10;1;247;34;11;4;70;1
1;10;2;168;104;56;317;396;1
1;10;2;143;223;109;0;146;1
1;10;1;135;329;72;27;62;1
1;10;2;112;57;11;6;49;1
1;10;1;107;83;6;105;142;1
1;10;1;69;134;11;0;25;1
1;10;1;315;174;7;15;67;1
1;10;1;78;61;121;72;49;1
1;10;2;140;272;99;16;75;1
1;10;1;175;579;31;82;31;1
1;10;1;166;185;68;51;18;1
1;10;2;149;809;51;0;67;1
1;10;2;27;1;49;0;2;1
